sample,precise,max_cutoff,max_num,error_rate
sample107,90,1,1022,0.00189316
sample105,90,1,1060,0.00131983
sample103,90,0,1036,0.01916956
sample108,90,0,1045,0.01847126
sample106,90,0,1059,0.01828488
sample10,90,2,871,0.00140918
sample100,90,0,1063,0.01662514
sample102,90,1,1064,0.00104139
sample104,90,1,1077,0.00088824
sample101,90,1,1087,0.00089297
sample111,90,1,949,0.00259746
sample109,90,1,1016,0.00278546
sample110,90,2,1052,0.00051439
sample112,90,1,887,0.00479179
sample114,90,1,1018,0.0019669
sample115,90,1,852,0.00483955
sample113,90,1,951,0.00440066
sample11,90,1,1036,0.00280749
sample116,90,1,997,0.0029736
sample1,90,2,613,0.00346868
sample117,90,1,948,0.00325803
sample118,90,1,990,0.00302634
sample119,90,1,957,0.00383872
sample120,90,3,1068,0.00043594
sample122,90,1,1043,0.00166248
sample121,90,1,1032,0.00229705
sample123,90,1,1005,0.00204939
sample124,90,1,1026,0.00242086
sample12,90,2,1029,0.00060115
sample127,90,0,1057,0.01231154
sample126,90,1,1045,0.00191883
sample125,90,1,1057,0.00255958
sample128,90,0,1068,0.01466719
sample131,90,1,1028,0.00154674
sample130,90,1,1053,0.00187681
sample129,90,0,1081,0.01579207
sample134,90,1,1048,0.00212965
sample133,90,3,1066,0.00025079
sample135,90,1,1049,0.00191892
sample13,90,1,991,0.0035577
sample132,90,1,1048,0.00186995
sample137,90,1,977,0.00357292
sample138,90,1,527,0.00715739
sample136,90,1,1069,0.00154478
sample139,90,1,1036,0.00233194
sample141,90,1,1072,0.00492806
sample140,90,1,1080,0.00168594
sample14,90,1,669,0.01966501
sample145,90,1,1010,0.00439725
sample143,90,1,1069,0.00203897
sample144,90,1,1072,0.00165904
sample142,90,1,1045,0.00181631
sample146,90,1,1052,0.00145951
sample147,90,1,1077,0.00182585
sample149,90,1,1001,0.00565239
sample152,90,1,674,0.00940056
sample153,90,1,209,0.01336258
sample148,90,4,1070,0.0002436
sample150,90,1,1067,0.00154962
sample151,90,1,1032,0.00260774
sample154,90,1,1026,0.0026309
sample156,90,1,1042,0.00230485
sample15,90,1,1,0.0
sample155,90,1,1079,0.00115278
sample159,90,1,1081,0.00139354
sample161,90,1,958,0.0013267
sample158,90,0,1085,0.01913678
sample160,90,1,1074,0.00128265
sample157,90,1,1088,0.00309862
sample162,90,1,1034,0.00292275
sample16,90,1,157,0.00346861
sample165,90,1,896,0.00744115
sample163,90,1,1074,0.00124408
sample164,90,2,1070,0.0006122
sample167,90,1,1063,0.00155594
sample166,90,2,1072,0.00058767
sample170,90,0,1033,0.0187474
sample168,90,1,1058,0.00226716
sample169,90,1,1064,0.00147222
sample171,90,1,997,0.00483481
sample172,90,1,1030,0.00350535
sample174,90,1,1039,0.00273154
sample175,90,1,827,0.00722022
sample17,90,1,943,0.00664468
sample173,90,1,1069,0.00174893
sample178,90,1,999,0.0032417
sample180,90,1,1006,0.00238155
sample177,90,2,1014,0.00073426
sample179,90,1,1000,0.00319792
sample181,90,1,965,0.00411685
sample176,90,1,803,0.00493931
sample182,90,1,1006,0.00305888
sample183,90,1,970,0.00504798
sample184,90,1,989,0.00319373
sample18,90,1,961,0.00635166
sample187,90,1,831,0.00506397
sample185,90,1,961,0.00294483
sample186,90,1,983,0.00293945
sample190,90,1,930,0.00321455
sample191,90,1,942,0.00481757
sample188,90,1,1013,0.00315905
sample20,90,2,501,0.00263684
sample192,90,1,1020,0.00251863
sample2,90,2,583,0.00216785
sample22,90,1,918,0.01047961
sample189,90,1,1039,0.00273845
sample23,90,1,853,0.01623647
sample26,90,2,940,0.00181962
sample25,90,1,1016,0.00530066
sample19,90,2,191,0.00417994
sample29,90,1,876,0.01458987
sample24,90,1,1007,0.00839158
sample28,90,2,1023,0.00102479
sample3,90,2,723,0.00210305
sample31,90,2,786,0.00216078
sample30,90,1,1033,0.00518158
sample27,90,3,1073,0.00045868
sample21,90,2,141,0.00719424
sample35,90,2,516,0.00291788
sample37,90,2,172,0.00447928
sample34,90,1,847,0.01145679
sample36,90,2,284,0.00578442
sample38,90,2,334,0.00401016
sample32,90,1,1046,0.00554191
sample33,90,2,1075,0.0007029
sample40,90,1,852,0.01963596
sample39,90,1,741,0.01647393
sample41,90,1,701,0.01182301
sample42,90,2,407,0.00343035
sample43,90,1,978,0.01022003
sample4,90,2,370,0.0068515
sample48,90,1,881,0.01357977
sample47,90,2,616,0.00369198
sample44,90,1,1030,0.0074607
sample50,90,2,458,0.00547462
sample46,90,1,1034,0.00552711
sample49,90,1,920,0.00722744
sample45,90,1,1064,0.0039677
sample52,90,1,992,0.00378904
sample53,90,1,1009,0.00845947
sample5,90,1,993,0.0103157
sample51,90,1,1029,0.00563083
sample59,90,2,153,0.00550796
sample55,90,2,103,0.00779896
sample60,90,3,971,0.00055418
sample63,90,2,368,0.00396138
sample54,90,1,1025,0.00493784
sample62,90,2,917,0.00224365
sample57,90,1,1046,0.0034421
sample58,90,1,1,0.0
sample61,90,2,133,0.00482218
sample56,90,3,12,0.00645161
sample68,90,2,324,0.00442288
sample66,90,1,852,0.01557415
sample64,90,1,1045,0.00843245
sample65,90,1,770,0.01634637
sample6,90,1,1015,0.01134889
sample69,90,2,422,0.00334484
sample67,90,1,813,0.01439258
sample71,90,2,512,0.00333907
sample72,90,2,648,0.00518666
sample73,90,1,831,0.01437653
