sample,precise,max_cutoff,max_num,error_rate
sample107,99,1,276,0.00189316
sample105,99,1,430,0.00131983
sample103,99,1,405,0.00122218
sample108,99,1,367,0.00109084
sample106,99,1,490,0.00130152
sample10,99,2,72,0.00140918
sample100,99,1,503,0.00126844
sample102,99,1,492,0.00104139
sample104,99,1,625,0.00088824
sample101,99,1,591,0.00089297
sample111,99,2,128,0.00051146
sample109,99,2,153,0.00069668
sample110,99,1,354,0.00172927
sample112,99,2,57,0.00067292
sample114,99,1,217,0.0019669
sample115,99,2,52,0.0008252
sample113,99,2,97,0.00090582
sample11,99,2,326,0.00052185
sample116,99,2,112,0.00063597
sample1,99,3,1,0.00052045
sample117,99,2,85,0.00069843
sample118,99,2,106,0.00082427
sample119,99,2,86,0.00103216
sample120,99,1,406,0.0017053
sample122,99,1,333,0.00166248
sample121,99,2,224,0.00058608
sample123,99,2,138,0.00057919
sample124,99,2,227,0.00063895
sample12,99,2,326,0.00060115
sample127,99,1,361,0.00096069
sample126,99,1,394,0.00191883
sample125,99,2,433,0.00074598
sample128,99,1,512,0.00079414
sample131,99,1,264,0.00154674
sample130,99,1,356,0.00187681
sample129,99,1,515,0.00078352
sample134,99,2,322,0.0004879
sample133,99,1,500,0.00129498
sample135,99,1,405,0.00191892
sample13,99,2,157,0.00091902
sample132,99,2,333,0.000445
sample137,99,2,119,0.00072526
sample138,99,2,20,0.00133104
sample136,99,2,503,0.0004508
sample139,99,2,275,0.00044748
sample141,99,2,464,0.00099976
sample140,99,2,564,0.00039635
sample14,99,3,30,0.000605
sample145,99,2,158,0.0007971
sample143,99,2,444,0.00045746
sample144,99,2,530,0.00049247
sample142,99,1,313,0.00181631
sample146,99,1,331,0.00145951
sample147,99,1,501,0.00182585
sample149,99,2,115,0.00125067
sample152,99,4,40,0.00053782
sample153,99,4,3,0.00022538
sample148,99,2,533,0.00065385
sample150,99,1,380,0.00154962
sample151,99,2,185,0.00057358
sample154,99,2,174,0.00062699
sample156,99,2,340,0.00047601
sample15,99,0,0,0.06349206
sample155,99,1,564,0.00115278
sample159,99,1,533,0.00139354
sample161,99,1,29,0.0013267
sample158,99,1,664,0.00125855
sample160,99,1,476,0.00128265
sample157,99,2,643,0.00074994
sample162,99,2,198,0.00062476
sample16,99,2,1,0.00057571
sample165,99,2,26,0.00147275
sample163,99,1,567,0.00124408
sample164,99,2,356,0.0006122
sample167,99,1,448,0.00155594
sample166,99,2,464,0.00058767
sample170,99,1,213,0.00108965
sample168,99,2,376,0.00105857
sample169,99,1,343,0.00147222
sample171,99,2,101,0.00107716
sample172,99,2,158,0.00084957
sample174,99,2,191,0.00065475
sample175,99,2,56,0.00113696
sample17,99,2,111,0.00100873
sample173,99,1,466,0.00174893
sample178,99,2,133,0.00079273
sample180,99,2,151,0.00045531
sample177,99,2,215,0.00073426
sample179,99,2,178,0.00087737
sample181,99,2,118,0.00098508
sample176,99,2,58,0.00069315
sample182,99,2,135,0.00081153
sample183,99,2,123,0.00091844
sample184,99,2,132,0.00087806
sample18,99,2,102,0.00090127
sample187,99,2,61,0.00126392
sample185,99,2,148,0.00062727
sample186,99,2,152,0.00119362
sample190,99,2,103,0.00071584
sample191,99,2,135,0.00119831
sample188,99,2,237,0.0012695
sample20,99,3,19,0.00092627
sample192,99,2,267,0.00067657
sample2,99,3,1,0.00104899
sample22,99,2,69,0.00145848
sample189,99,2,365,0.00124247
sample23,99,3,58,0.00045041
sample26,99,2,78,0.00181962
sample25,99,2,201,0.00105051
sample19,99,10,4,0.0
sample29,99,3,76,0.00059876
sample24,99,2,209,0.00112502
sample28,99,2,243,0.00102479
sample3,99,3,3,0.00090423
sample31,99,3,44,0.00063735
sample30,99,2,240,0.00071233
sample27,99,2,496,0.00066814
sample21,99,3,3,0.00137817
sample35,99,3,15,0.00093514
sample37,99,3,5,0.00068981
sample34,99,3,45,0.00071626
sample36,99,3,9,0.00173989
sample38,99,3,8,0.00055066
sample32,99,2,301,0.00123609
sample33,99,2,479,0.0007029
sample40,99,4,58,0.0008056
sample39,99,3,39,0.00029709
sample41,99,2,38,0.00140029
sample42,99,3,15,0.00042988
sample43,99,3,122,0.00052299
sample4,99,0,0,0.00037051
sample48,99,2,65,0.00195464
sample47,99,3,28,0.00077208
sample44,99,2,140,0.00114834
sample50,99,3,18,0.00142491
sample46,99,2,158,0.00104516
sample49,99,2,96,0.0008559
sample45,99,2,327,0.00085566
sample52,99,2,111,0.00064142
sample53,99,2,160,0.00127748
sample5,99,2,91,0.00168681
sample51,99,2,229,0.00079158
sample59,99,3,5,0.00095238
sample55,99,0,0,0.00050942
sample60,99,2,83,0.00137296
sample63,99,3,8,0.00076894
sample54,99,2,234,0.00082078
sample62,99,3,79,0.00089114
sample57,99,2,304,0.00061677
sample58,99,0,0,0.15
sample61,99,3,2,0.00155424
sample56,99,0,0,0.00645161
sample68,99,3,9,0.00118064
sample66,99,4,47,0.00067473
sample64,99,2,241,0.00145418
sample65,99,3,33,0.00065511
sample6,99,2,126,0.00153981
sample69,99,3,14,0.00089857
sample67,99,2,46,0.0016187
sample71,99,4,10,0.00043649
sample72,99,3,29,0.00139368
sample73,99,4,53,0.0005133
sample74,99,3,56,0.0006417
sample76,99,3,52,0.00078844
sample70,99,2,299,0.00099412
sample77,99,3,100,0.00081725
sample7,99,0,0,0.03559662
sample81,99,2,92,0.00148471
sample83,99,4,66,0.00058187
sample82,99,3,2,0.00139027
sample78,99,2,437,0.00074876
sample80,99,2,204,0.00097344
sample85,99,4,8,0.0003651
sample79,99,2,253,0.00170531
sample8,99,3,27,0.00088719
sample89,99,3,50,0.0009946
sample88,99,3,3,0.00092081
sample87,99,2,81,0.00173021
sample86,99,2,97,0.00141257
sample90,99,2,95,0.00160526
sample75,99,0,0,0.0008244
sample84,99,0,0,0.0015448
sample9,99,2,532,0.00070634
sample93,99,2,231,0.00076664
sample92,99,2,243,0.0009942
sample94,99,2,322,0.00102064
sample96,99,2,273,0.00099492
sample91,99,2,388,0.00107302
sample95,99,2,416,0.00071713
sample97,99,1,343,0.00160065
sample98,99,1,506,0.00098763
sample99,99,2,250,0.00084038
