sample,precise,max_cutoff,max_num,error_rate
sample107,95,1,828,0.00189316
sample105,95,1,903,0.00131983
sample103,95,1,893,0.00122218
sample108,95,1,903,0.00109084
sample106,95,1,941,0.00130152
sample10,95,2,540,0.00140918
sample100,95,1,949,0.00126844
sample102,95,2,942,0.00037949
sample104,95,1,980,0.00088824
sample101,95,2,972,0.00040032
sample111,95,1,755,0.00259746
sample109,95,1,833,0.00278546
sample110,95,1,908,0.00172927
sample112,95,1,568,0.00479179
sample114,95,1,828,0.0019669
sample115,95,1,510,0.00483955
sample113,95,1,703,0.00440066
sample11,95,1,892,0.00280749
sample116,95,1,774,0.0029736
sample1,95,2,236,0.00346868
sample117,95,1,714,0.00325803
sample118,95,1,778,0.00302634
sample119,95,1,737,0.00383872
sample120,95,1,926,0.0017053
sample122,95,1,879,0.00166248
sample121,95,1,859,0.00229705
sample123,95,1,809,0.00204939
sample124,95,1,841,0.00242086
sample12,95,1,874,0.00320681
sample127,95,1,914,0.00096069
sample126,95,1,916,0.00191883
sample125,95,1,918,0.00255958
sample128,95,1,940,0.00079414
sample131,95,1,836,0.00154674
sample130,95,1,893,0.00187681
sample129,95,1,963,0.00078352
sample134,95,2,918,0.0004879
sample133,95,1,960,0.00129498
sample135,95,1,912,0.00191892
sample13,95,1,804,0.0035577
sample132,95,2,910,0.000445
sample137,95,1,761,0.00357292
sample138,95,1,318,0.00715739
sample136,95,1,953,0.00154478
sample139,95,1,886,0.00233194
sample141,95,2,952,0.00099976
sample140,95,1,980,0.00168594
sample14,95,2,256,0.00315748
sample145,95,1,838,0.00439725
sample143,95,1,965,0.00203897
sample144,95,2,949,0.00049247
sample142,95,1,886,0.00181631
sample146,95,1,917,0.00145951
sample147,95,1,970,0.00182585
sample149,95,1,788,0.00565239
sample152,95,1,314,0.00940056
sample153,95,2,74,0.00210748
sample148,95,1,957,0.00346114
sample150,95,1,928,0.00154962
sample151,95,2,868,0.00057358
sample154,95,1,847,0.0026309
sample156,95,1,913,0.00230485
sample15,95,0,0,0.06349206
sample155,95,1,970,0.00115278
sample159,95,2,945,0.00057083
sample161,95,1,711,0.0013267
sample158,95,1,998,0.00125855
sample160,95,2,940,0.0005333
sample157,95,1,1010,0.00309862
sample162,95,2,872,0.00062476
sample16,95,1,67,0.00346861
sample165,95,1,578,0.00744115
sample163,95,1,967,0.00124408
sample164,95,1,929,0.00203599
sample167,95,1,932,0.00155594
sample166,95,1,948,0.00202016
sample170,95,1,868,0.00108965
sample168,95,1,934,0.00226716
sample169,95,3,929,0.00043371
sample171,95,1,783,0.00483481
sample172,95,1,851,0.00350535
sample174,95,1,883,0.00273154
sample175,95,1,479,0.00722022
sample17,95,1,720,0.00664468
sample173,95,1,966,0.00174893
sample178,95,1,796,0.0032417
sample180,95,1,787,0.00238155
sample177,95,3,848,0.00041882
sample179,95,1,831,0.00319792
sample181,95,1,772,0.00411685
sample176,95,1,465,0.00493931
sample182,95,1,804,0.00305888
sample183,95,1,752,0.00504798
sample184,95,1,780,0.00319373
sample18,95,1,724,0.00635166
sample187,95,1,504,0.00506397
sample185,95,1,746,0.00294483
sample186,95,1,763,0.00293945
sample190,95,1,686,0.00321455
sample191,95,1,708,0.00481757
sample188,95,2,822,0.0012695
sample20,95,3,200,0.00092627
sample192,95,1,841,0.00251863
sample2,95,2,196,0.00216785
sample22,95,2,620,0.00145848
sample189,95,2,874,0.00124247
sample23,95,2,498,0.00166996
sample26,95,1,655,0.00822696
sample25,95,1,818,0.00530066
sample19,95,2,76,0.00417994
sample29,95,2,584,0.00203687
sample24,95,1,825,0.00839158
sample28,95,1,887,0.00648048
sample3,95,2,297,0.00210305
sample31,95,2,395,0.00216078
sample30,95,1,886,0.00518158
sample27,95,4,927,0.00043906
sample21,95,2,57,0.00719424
sample35,95,4,215,0.00069001
sample37,95,2,69,0.00447928
sample34,95,2,481,0.0020012
sample36,95,2,109,0.00578442
sample38,95,2,117,0.00401016
sample32,95,1,872,0.00554191
sample33,95,2,941,0.0007029
sample40,95,2,479,0.00252705
sample39,95,2,361,0.00208623
sample41,95,2,299,0.00140029
sample42,95,2,158,0.00343035
sample43,95,2,740,0.00141178
sample4,95,2,95,0.0068515
sample48,95,2,515,0.00195464
sample47,95,2,255,0.00369198
sample44,95,1,824,0.0074607
sample50,95,2,172,0.00547462
sample46,95,1,854,0.00552711
sample49,95,1,684,0.00722744
sample45,95,1,938,0.0039677
sample52,95,1,758,0.00378904
sample53,95,1,817,0.00845947
sample5,95,2,763,0.00168681
sample51,95,1,868,0.00563083
sample59,95,2,49,0.00550796
sample55,95,2,36,0.00779896
sample60,95,2,744,0.00137296
sample63,95,2,132,0.00396138
sample54,95,1,863,0.00493784
sample62,95,2,640,0.00224365
sample57,95,1,892,0.0034421
sample58,95,0,0,0.15
sample61,95,2,40,0.00482218
sample56,95,3,3,0.00645161
sample68,95,2,113,0.00442288
sample66,95,2,482,0.00245857
sample64,95,1,887,0.00843245
sample65,95,2,403,0.00220982
sample6,95,4,807,0.00031158
sample69,95,2,142,0.00334484
sample67,95,2,448,0.0016187
sample71,95,2,207,0.00333907
sample72,95,2,312,0.00518666
sample73,95,2,471,0.00158318
sample74,95,2,503,0.0020984
sample76,95,2,526,0.00221607
sample70,95,4,880,0.00048799
sample77,95,2,726,0.00212083
sample7,95,0,0,0.03559662
sample81,95,2,670,0.00148471
sample83,95,2,506,0.0021407
sample82,95,2,83,0.00610687
sample78,95,1,913,0.00548564
sample80,95,1,757,0.00763444
sample85,95,2,96,0.00510638
sample79,95,2,871,0.00170531
sample8,95,2,328,0.00716398
sample89,95,2,469,0.00272065
sample88,95,3,67,0.00092081
sample87,95,2,648,0.00173021
sample86,95,1,753,0.00820892
sample90,95,2,707,0.00160526
sample75,95,2,28,0.00518135
sample84,95,2,40,0.0015448
sample9,95,1,955,0.00334857
sample93,95,1,839,0.00555386
sample92,95,1,829,0.00758636
sample94,95,1,890,0.00545578
sample96,95,1,859,0.00691863
sample91,95,1,924,0.00698522
sample95,95,1,922,0.00499598
sample97,95,1,888,0.00160065
sample98,95,1,952,0.00098763
sample99,95,1,867,0.0035644
