sample,precise,freq1,freq2,freq3,freq4,freq5,freq6,freq7,freq8,freq9,freq10,pow1,pow2,pow3,pow4,pow5,pow6,pow7,pow8,pow9,pow10,total
sample107,90,0.011111111111111112,0.022222222222222223,0.03333333333333333,0.044444444444444446,0.05555555555555556,0.17777777777777778,0.16666666666666669,0.15555555555555556,0.14444444444444446,0.18888888888888888,0.8795626408827086,0.6136360899692255,0.3488182941748803,0.17743277715983152,0.11803094638479442,0.10221481478056305,0.10201862906024617,0.10130799571854811,0.10069830793387193,0.10002662388778047,148231
sample105,90,0.013888888888888888,0.027777777777777776,0.041666666666666664,0.05555555555555555,0.06944444444444445,0.08333333333333333,0.2638888888888889,0.2777777777777778,0.2222222222222222,0.2361111111111111,0.8748056424586711,0.6054889982458073,0.3502316460135955,0.1944868449889608,0.12654941077245344,0.09070095917684054,0.0824576291206159,0.08201014358632902,0.0818699225470147,0.08185123807069707,185804
sample103,90,0.009708737864077669,0.019417475728155338,0.029126213592233007,0.038834951456310676,0.04854368932038834,0.058252427184466014,0.06796116504854369,0.16504854368932037,0.17475728155339804,0.24271844660194172,0.9159833406762712,0.7172625934785043,0.4930155134424233,0.30792461960697803,0.19299155782772834,0.13679711396852123,0.10308130885911748,0.0897751014082152,0.08915520859422803,0.08837597376384766,182194
sample108,90,0.010309278350515464,0.020618556701030927,0.030927835051546393,0.041237113402061855,0.05154639175257732,0.061855670103092786,0.21649484536082475,0.3402061855670103,0.20618556701030927,0.17525773195876287,0.9062222879057,0.6877316143325467,0.4496697309556042,0.26574352113342337,0.16446042913702016,0.11531101929143721,0.08750828805770047,0.08649347012577169,0.08638214166287621,0.08637807325336848,172165
sample106,90,0.012195121951219513,0.024390243902439025,0.03658536585365854,0.04878048780487805,0.06097560975609756,0.07317073170731708,0.1951219512195122,0.18292682926829268,0.20731707317073172,0.17073170731707318,0.8729802584444613,0.6026032876160953,0.3468333877551878,0.19189058553818392,0.12780537730274474,0.08783699584349595,0.08449781883339316,0.0844936599595554,0.08438768259997688,0.08408090217539645,214897
sample10,90,0.007407407407407408,0.014814814814814815,0.05185185185185186,0.05925925925925926,0.06666666666666667,0.07407407407407407,0.044444444444444446,0.11851851851851852,0.11111111111111112,0.10370370370370371,0.7997585742588456,0.4362354123276135,0.33534409322916414,0.32868265818288195,0.3160224087850106,0.3107847613085114,0.3086946660043587,0.3055518995953859,0.3054858322099771,0.3044297217478471,73891
sample100,90,0.01098901098901099,0.02197802197802198,0.03296703296703297,0.04395604395604396,0.05494505494505495,0.06593406593406594,0.19780219780219782,0.2417582417582418,0.23076923076923078,0.18681318681318682,0.8787642323176372,0.6181853181507369,0.3596591970868125,0.18434677834016033,0.11244191437527216,0.07934186704534642,0.07771710322665774,0.07743887807711175,0.07735913304157123,0.07703520615450082,232424
sample102,90,0.010638297872340425,0.02127659574468085,0.031914893617021274,0.0425531914893617,0.05319148936170213,0.06382978723404255,0.2127659574468085,0.22340425531914893,0.20212765957446807,0.23404255319148937,0.891901567278364,0.6480187442455122,0.3938914693151404,0.20834939485479237,0.12014118697678351,0.08788368229704213,0.07880863003053701,0.07876819636890611,0.07840190647480966,0.0777918775625666,221078
sample104,90,0.011904761904761904,0.023809523809523808,0.03571428571428571,0.047619047619047616,0.05952380952380952,0.07142857142857142,0.08333333333333333,0.09523809523809523,0.10714285714285714,0.11904761904761904,0.9136610454145766,0.7275739582460833,0.5322578256373637,0.3707896864902595,0.25895672999705555,0.19107238936237528,0.1524204043887637,0.12652396368944135,0.10552720197241051,0.08996778359764196,441680
sample101,90,0.010101010101010102,0.020202020202020204,0.030303030303030304,0.04040404040404041,0.05050505050505051,0.06060606060606061,0.07070707070707072,0.20202020202020204,0.21212121212121213,0.19191919191919193,0.9073626085367846,0.6978021395343206,0.47093878066704875,0.2856368077150274,0.17071461458032378,0.11823074748409239,0.09065633798768025,0.07475302425636021,0.0743026913043165,0.07361252546132481,294712
