sample107,0.02660143,0.00189316,0.00049041,0.00038394,0.00037024,0.00037601,0.00034744,0.00031532,0.00034646,0.00033212,0.00034180
sample105,0.01866481,0.00131983,0.00031338,0.00024053,0.00020239,0.00014287,0.00012402,0.00008000,0.00006853,0.00007919,0.00009190
sample103,0.01916956,0.00122218,0.00043250,0.00036605,0.00033593,0.00033348,0.00036467,0.00031631,0.00031435,0.00028815,0.00032622
sample108,0.01847126,0.00109084,0.00039913,0.00030996,0.00031446,0.00033792,0.00033467,0.00035100,0.00030841,0.00027610,0.00026003
sample106,0.01828488,0.00130152,0.00049560,0.00043243,0.00038949,0.00036961,0.00033449,0.00036936,0.00032585,0.00028967,0.00032710
sample10,0.10653068,0.01004195,0.00140918,0.00034976,0.00024889,0.00025350,0.00025885,0.00026417,0.00023184,0.00023775,0.00024440
sample100,0.01662514,0.00126844,0.00051669,0.00036987,0.00035874,0.00034952,0.00034182,0.00035871,0.00035296,0.00037536,0.00036852
sample102,0.01562301,0.00104139,0.00037949,0.00030930,0.00028019,0.00026222,0.00024409,0.00022358,0.00024598,0.00022152,0.00020891
sample104,0.00996521,0.00088824,0.00039399,0.00035093,0.00031416,0.00032701,0.00030795,0.00032779,0.00029349,0.00027974,0.00028556
sample101,0.01321240,0.00089297,0.00040032,0.00033295,0.00031181,0.00029000,0.00026683,0.00026156,0.00024257,0.00020413,0.00019969
sample111,0.03846295,0.00259746,0.00051146,0.00034877,0.00034366,0.00036709,0.00039706,0.00043561,0.00048107,0.00042105,0.00047340
sample109,0.03722478,0.00278546,0.00069668,0.00031742,0.00030739,0.00032216,0.00031788,0.00034079,0.00036961,0.00037219,0.00040865
sample110,0.02467608,0.00172927,0.00051439,0.00036386,0.00034343,0.00036972,0.00038661,0.00040764,0.00043306,0.00041632,0.00041785
sample112,0.05765358,0.00479179,0.00067292,0.00028686,0.00021375,0.00022514,0.00023866,0.00025606,0.00022258,0.00024241,0.00020013
sample114,0.02663339,0.00196690,0.00071293,0.00049147,0.00049212,0.00047628,0.00050661,0.00047382,0.00043757,0.00044930,0.00043186
sample115,0.05480842,0.00483955,0.00082520,0.00038395,0.00030516,0.00027181,0.00029391,0.00032233,0.00028531,0.00031936,0.00027032
sample113,0.04672219,0.00440066,0.00090582,0.00045227,0.00030309,0.00025899,0.00027245,0.00025747,0.00027664,0.00029895,0.00032587
sample11,0.05231305,0.00280749,0.00052185,0.00032955,0.00028482,0.00027840,0.00027218,0.00026666,0.00027557,0.00027092,0.00021966
sample116,0.03988377,0.00297360,0.00063597,0.00036347,0.00035133,0.00036757,0.00038819,0.00038507,0.00038532,0.00035037,0.00023087
sample1,0.20330562,0.02829745,0.00346868,0.00052045,0.00042114,0.00042676,0.00043234,0.00043946,0.00044718,0.00045709,0.00035018
sample117,0.03845642,0.00325803,0.00069843,0.00046037,0.00044600,0.00043522,0.00038718,0.00037630,0.00036669,0.00035195,0.00027939
sample118,0.04092751,0.00302634,0.00082427,0.00066254,0.00063430,0.00064028,0.00065130,0.00060018,0.00054044,0.00055432,0.00056695
sample119,0.04243866,0.00383872,0.00103216,0.00055196,0.00051874,0.00051810,0.00048589,0.00041431,0.00045515,0.00041113,0.00040841
sample120,0.02511158,0.00170530,0.00054872,0.00043594,0.00039833,0.00036015,0.00034543,0.00034479,0.00034457,0.00030924,0.00034178
sample122,0.02692787,0.00166248,0.00048564,0.00036780,0.00035751,0.00034801,0.00032363,0.00033217,0.00032445,0.00029364,0.00030154
sample121,0.03064194,0.00229705,0.00058608,0.00044668,0.00046761,0.00045539,0.00038224,0.00039172,0.00030281,0.00030696,0.00021740
sample123,0.03546536,0.00204939,0.00057919,0.00026695,0.00027859,0.00029495,0.00028884,0.00022645,0.00024650,0.00023697,0.00026211
sample124,0.03332558,0.00242086,0.00063895,0.00042812,0.00039305,0.00035810,0.00036052,0.00028349,0.00030613,0.00033304,0.00031256
sample12,0.04894748,0.00320681,0.00060115,0.00026048,0.00025197,0.00024342,0.00022105,0.00022650,0.00021803,0.00017939,0.00018512
sample127,0.01231154,0.00096069,0.00050277,0.00041559,0.00041275,0.00040552,0.00036719,0.00033153,0.00030195,0.00025220,0.00025988
sample126,0.02758959,0.00191883,0.00064731,0.00055046,0.00056259,0.00052691,0.00053461,0.00051622,0.00046315,0.00045475,0.00044193
sample125,0.02866334,0.00255958,0.00074598,0.00042430,0.00037340,0.00035461,0.00033715,0.00031991,0.00031526,0.00026827,0.00026033
