sample,precise,max_cutoff,max_num,error_rate
sample195,99,2,52,0.00155156
sample194,99,0,0,0.00368089
sample193,99,2,123,0.00133305
sample197,99,2,85,0.00163199
sample196,99,2,79,0.00108725
sample198,99,0,0,0.00297692
sample200,99,0,0,0.00207446
sample199,99,0,0,0.00255918
sample201,99,2,37,0.0018369
sample202,99,3,22,0.00180587
sample205,99,0,0,0.02280926
sample203,99,0,0,0.00323938
sample204,99,0,0,0.00332239
sample206,99,0,0,0.00504645
sample207,99,2,148,0.00192732
sample210,99,2,1,0.00174491
sample208,99,2,36,0.00126218
sample209,99,0,0,0.0027241
sample211,99,0,0,0.00299766
sample212,99,2,12,0.00163786
sample214,99,0,0,0.01970443
sample215,99,0,0,0.00080386
sample213,99,0,0,0.0031554
sample216,99,0,0,0.00297712
sample217,99,1,434,0.00144737
sample219,99,1,690,0.00074968
sample218,99,1,699,0.00040235
sample220,99,1,721,0.00069485
sample223,99,0,0,0.00131062
sample221,99,1,590,0.00131464
sample222,99,1,434,0.00159355
sample224,99,2,101,0.00174384
sample226,99,0,0,0.00041237
sample225,99,2,179,0.00101188
sample227,99,1,643,0.00075038
sample228,99,2,157,0.00068859
sample232,99,0,0,0.00157978
sample229,99,1,427,0.0011102
sample230,99,1,382,0.00127174
sample231,99,0,0,0.00610766
sample235,99,3,5,0.00179091
sample233,99,2,124,0.00090019
sample234,99,1,272,0.00156729
sample237,99,0,0,0.00254582
sample236,99,1,356,0.00141886
sample238,99,3,25,0.00194525
sample240,99,4,3,0.00163018
sample239,99,1,476,0.00173724
sample241,99,0,0,0.00201681
sample242,99,1,244,0.00114567
sample244,99,2,29,0.00158742
sample243,99,2,43,0.00090086
sample246,99,3,22,0.00199537
sample245,99,7,13,0.00195032
sample247,99,2,49,0.00090541
sample248,99,2,127,0.00088282
sample249,99,1,387,0.0012588
sample250,99,2,93,0.0010201
sample251,99,2,58,0.00129324
sample255,99,0,0,0.00090992
sample256,99,0,0,0.02277904
sample252,99,2,402,0.00090017
sample253,99,3,15,0.00163199
sample254,99,1,312,0.00168215
sample260,99,0,0,0.00311526
sample257,99,2,3,0.00184049
sample259,99,3,8,0.00152693
sample258,99,2,76,0.0014601
sample261,99,1,292,0.00139481
sample263,99,1,558,0.00135121
sample262,99,2,68,0.0011507
sample264,99,2,100,0.00136203
sample265,99,2,180,0.00052834
sample266,99,2,31,0.00158258
sample268,99,2,20,0.00187685
sample267,99,0,0,0.00224383
sample269,99,1,302,0.00184883
sample271,99,0,0,0.00253807
sample270,99,0,0,0.00559303
sample272,99,2,26,0.00167066
sample275,99,0,0,0.00132802
sample273,99,2,82,0.00089445
sample274,99,3,7,0.00120464
sample278,99,0,0,0.00157233
sample277,99,2,1,0.00169635
sample276,99,1,410,0.00159145
sample279,99,2,11,0.00173827
sample281,99,0,0,0.00070274
sample280,99,0,0,0.00187735
sample283,99,0,0,0.01209677
sample282,99,3,5,0.00103434
sample285,99,5,5,0.0019359
sample284,99,2,33,0.00135179
sample286,99,4,4,0.00110205
sample287,99,2,83,0.00098269
sample288,99,2,24,0.00198511
sample290,99,2,589,0.00039625
sample289,99,2,567,0.00051108
sample291,99,2,394,0.00051403
sample292,99,2,519,0.00070161
sample293,99,2,711,0.00030925
sample294,99,1,508,0.00157206
sample296,99,4,711,0.00054229
sample295,99,3,547,0.00040851
sample297,99,1,570,0.00163062
sample298,99,1,735,0.00069307
sample299,99,2,305,0.00086831
sample301,99,2,243,0.00072963
sample300,99,1,314,0.00129686
sample302,99,1,280,0.00184296
sample303,99,1,288,0.00178891
