sample,precise,max_cutoff,max_num,error_rate
sample195,95,1,744,0.00446901
sample194,95,2,414,0.00433546
sample193,95,1,883,0.0047182
sample197,95,1,851,0.00294066
sample196,95,1,853,0.00254733
sample198,95,1,726,0.00388919
sample200,95,1,306,0.00885177
sample199,95,1,565,0.00706892
sample201,95,1,681,0.00641026
sample202,95,1,676,0.00666176
sample205,95,0,0,0.02280926
sample203,95,1,670,0.00734331
sample204,95,1,749,0.00576529
sample206,95,1,856,0.00667784
sample207,95,1,857,0.00380819
sample210,95,1,367,0.00651419
sample208,95,1,743,0.00522444
sample209,95,1,823,0.00437886
sample211,95,1,449,0.00863115
sample212,95,1,591,0.00632203
sample214,95,2,4,0.0
sample215,95,2,18,0.00146735
sample213,95,1,592,0.00925648
sample216,95,2,114,0.00350336
sample217,95,1,901,0.00144737
sample219,95,0,1015,0.00742683
sample218,95,0,1028,0.00360186
sample220,95,0,1036,0.00700555
sample223,95,2,35,0.00324807
sample221,95,1,963,0.00131464
sample222,95,1,940,0.00159355
sample224,95,1,790,0.00926518
sample226,95,2,48,0.00350765
sample225,95,1,847,0.00319394
sample227,95,0,995,0.00694347
sample228,95,1,812,0.00205398
sample232,95,1,20,0.00238284
sample229,95,1,928,0.0011102
sample230,95,1,895,0.00127174
sample231,95,2,961,0.00726717
sample235,95,2,87,0.00258552
sample233,95,1,738,0.00265434
sample234,95,1,873,0.00156729
sample237,95,2,108,0.00351171
sample236,95,1,934,0.00141886
sample238,95,1,297,0.00631828
sample240,95,2,90,0.00337965
sample239,95,1,940,0.00173724
sample241,95,2,95,0.00346177
sample242,95,1,844,0.00114567
sample244,95,1,262,0.00720661
sample243,95,1,398,0.00424561
sample246,95,1,250,0.00619463
sample245,95,1,366,0.00817828
sample247,95,1,640,0.00332725
sample248,95,1,810,0.00253693
sample249,95,1,881,0.0012588
sample250,95,1,683,0.00258087
sample251,95,1,479,0.00543781
sample255,95,2,33,0.00277228
sample256,95,2,4,0.0
sample252,95,1,931,0.00237501
sample253,95,2,179,0.00230287
sample254,95,1,887,0.00168215
sample260,95,2,21,0.00347222
sample257,95,2,42,0.00184049
sample259,95,1,144,0.00964126
sample258,95,1,581,0.00334896
sample261,95,1,898,0.00139481
sample263,95,1,961,0.00135121
sample262,95,1,564,0.00306574
sample264,95,1,745,0.00272242
sample265,95,1,849,0.00209226
sample266,95,1,376,0.00506668
sample268,95,1,323,0.00433287
sample267,95,2,65,0.003708
sample269,95,1,866,0.00184883
sample271,95,2,9,0.00253807
sample270,95,2,103,0.00634058
sample272,95,1,283,0.00614795
sample275,95,2,9,0.00370828
sample273,95,1,683,0.00262808
sample274,95,2,110,0.00246744
sample278,95,2,10,0.00157233
sample277,95,2,28,0.00169635
sample276,95,1,933,0.00159145
sample279,95,1,122,0.00968032
sample281,95,2,26,0.00383352
sample280,95,2,36,0.00489237
sample283,95,0,0,0.01209677
sample282,95,2,87,0.00200657
sample285,95,2,111,0.00396769
sample284,95,1,293,0.00729251
sample286,95,2,82,0.00388529
sample287,95,1,671,0.00324879
sample288,95,2,286,0.00198511
sample290,95,3,979,0.00030435
sample289,95,1,967,0.00207169
sample291,95,1,913,0.00264241
sample292,95,5,958,0.0002527
sample293,95,1,1026,0.00068011
sample294,95,1,979,0.00157206
sample296,95,2,1028,0.00064946
sample295,95,1,979,0.00247456
sample297,95,1,974,0.00163062
sample298,95,0,1056,0.00736939
sample299,95,1,866,0.00281399
sample301,95,1,799,0.00334742
sample300,95,1,852,0.00129686
sample302,95,1,826,0.00184296
sample303,95,1,846,0.00178891
